iter	AUC	Logloss
0	0.779748857	0.6855190705
1	0.7825527489	0.6780854167
2	0.7835745513	0.6708161325
3	0.7862587869	0.6640555556
4	0.7865882814	0.6571518162
5	0.7869438529	0.6507512286
6	0.7871829271	0.6445699252
7	0.7874366641	0.638255609
8	0.787694931	0.631998985
9	0.7879189551	0.6260270833
10	0.7880209386	0.6201722756
11	0.788045913	0.6147138889
12	0.7880449295	0.6094689103
13	0.7881642878	0.6041295406
14	0.7882200181	0.5989096688
15	0.7882862389	0.5937096688
16	0.7883203924	0.5887455128
17	0.7884218693	0.5839691774
18	0.7887439728	0.5791571047
19	0.7887556553	0.5745969551
20	0.7887641191	0.5703375
21	0.7887723744	0.5660054487
22	0.7887830734	0.5617824786
23	0.7888135016	0.5575496261
24	0.7888331711	0.5536065705
25	0.7888249159	0.5497092415
26	0.7888381183	0.5459337073
27	0.7892538011	0.5421581197
28	0.7892489135	0.5386462607
29	0.7892361581	0.5352188568
30	0.7892348766	0.5317600427
31	0.7892451286	0.528456891
32	0.7893002331	0.5251302885
33	0.7893756926	0.5219277778
34	0.7893730998	0.5189724359
35	0.7893832326	0.5160725962
36	0.7893799841	0.5131993056
37	0.7893698514	0.5104236111
38	0.7893684506	0.5077577457
39	0.7893602252	0.5051665064
40	0.7893595099	0.5026309295
41	0.7893463671	0.5002110577
42	0.7893568873	0.4977173077
43	0.7893703878	0.4952229701
44	0.7893870175	0.4927933226
45	0.7893877327	0.4905911859
46	0.78938061	0.4884625
47	0.7893894613	0.4862231838
48	0.7894824147	0.4840365385
49	0.7894826531	0.4819708333
50	0.7894821167	0.4799369124
51	0.7894844413	0.4780121795
52	0.7894801795	0.4762215812
53	0.7894801497	0.4743892628
54	0.7894731462	0.4726567308
55	0.789488852	0.4708238782
56	0.7894895971	0.4691746261
57	0.7894912362	0.4674188034
58	0.7894956768	0.465823985
59	0.7894906998	0.4644097222
60	0.7894957364	0.462815812
61	0.7894927859	0.4614003739
62	0.7894913256	0.4598331197
63	0.789493829	0.458343109
64	0.789499253	0.4570679487
65	0.7894981205	0.4558228632
66	0.7895016074	0.4545700855
67	0.7895092964	0.4533098825
68	0.7895764112	0.4519870192
69	0.7895728946	0.4508273504
70	0.7895739675	0.4496823184
71	0.7895718813	0.4486116987
72	0.7895751297	0.447534375
73	0.7895700932	0.4463284989
74	0.7895700634	0.445245406
75	0.7895669937	0.4441311165
76	0.7895732522	0.4430506677
77	0.7895729244	0.4419786592
78	0.7895834446	0.4409336271
79	0.7895841002	0.44005414
80	0.789585799	0.4391619391
81	0.789583683	0.4382486111
82	0.7895889282	0.4372822382
83	0.789591223	0.4363836271
84	0.789593935	0.4354474626
85	0.7895941138	0.4345370726
86	0.7895961702	0.4336995459
87	0.7895973325	0.4329756677
88	0.7895964086	0.4321224359
89	0.7895947993	0.4312913996
90	0.7895935476	0.4305755876
91	0.7895947993	0.4297752137
92	0.7895956933	0.4290055556
93	0.7895956337	0.4283863515
94	0.789596945	0.4276584936
95	0.7895976007	0.4269803152
96	0.7895976603	0.4263240118
97	0.7895963192	0.4257111378
98	0.7895959616	0.4250822382
99	0.7896202505	0.4244194444
100	0.7896169424	0.4238224893
101	0.7896195352	0.423180609
102	0.7896195352	0.4226761485
103	0.7896182835	0.4221764156
104	0.7896265388	0.4215556891
105	0.7896225154	0.4210174947
106	0.7896226943	0.4204521368
107	0.7896240354	0.4199885417
108	0.7896594703	0.4194472756
109	0.7896586955	0.4189607639
110	0.7896600664	0.4184689103
111	0.7896637619	0.4179918002
112	0.7896647751	0.4174886752
113	0.7896655798	0.4171057158
114	0.7896660864	0.4167102297
115	0.7896693647	0.416237313
116	0.7896720469	0.4158470353
117	0.7896731496	0.415414984
118	0.7896710038	0.4150239049
119	0.7896700799	0.4145901709
120	0.7896725535	0.4142293803
121	0.7896743715	0.4138102831
